Start,End,Excerpt Copy,Codes Applied Combined,Math artefact 1,Math artefact 2,Math artefact 3,Math artefact 4,Meta Label
79758,80471,"Assume that A1 … An are 1,2 … n. I can take a block of n spaces, and put my n-1 mines in those. This forces a jump to the remaining space. I then have to divide up the Ai so that I can jump to that place and from it to the ends. This I can do because the small numbers give me flexibility, and I’ve used all the mines, so there are no more constraints. As I put more holes in my block, the constraints are reduced and there are more ways to hop through.

And a trivial observation – I can assume that hcf of the Ai is 1.

Is there an induction on s, or on s and n together, or involving A1?

If A1 = 1, for example, this interval contains no mines. In fact one of the intervals must contain no mines (pigeonhole).","hypothesized case to explore conjecture/proof attempt, simple case",,,,,egbotdo
80529,80635,"Can we come up with a hyper optimistic conjecture to the affect that the worse case sequence is 1,2,3,…,n?","question, sub-conjecture",,,,,egbotdont
80551,80578,hyper optimistic conjecture,emotion or value words,,,,,egbotdont
80702,80715,Reply to 127.,by number,,,,,egbotdont
80715,80775," I’m sorry, for some reason part of the text didn’t appear.",technical issues,,,,,egbotdont
80788,80811,For n=2 see post 4@Lugo,"by number, by name",,,,,egbotdont
80816,80844,for n=3 see post 18@gowers. ,"by number, by name",,,,,egbotdont
80776,81849,"Induct on . For n=2 see post 4@Lugo and for n=3 see post 18@gowers. Assume it holds for n-1. Let M and A=\{a_1,\dots,a_n\} be as in the statement. Set $S=a_1+\cdots+a_n$ and m=\max M . WLOG assume that m<S. We have that at least one of the numbers S-a_i is NOT contained in M, since card(M)<n. WLOG assume that S-a_n\notin M.

Set M^\prime=M\setminus\{m\} and A^\prime=A\setminus\{a_n\}. Apply the induction hypothesis on A^\prime and M^\prime. So there exists some permutation \sigma\in S_{n-1} so that the numbers S_j:=a_{\sigma(1)}+\cdots+a_{\sigma(j)} do not belong to $\latex M^\prime$.

If a_1+\cdots a_{n-1}<\max M^\prime we are done (choose a_n as the last step), so assume this is not the case. So there exists some k\in\{1,\dots,n-1\} so that S_k<\max M^\prime<S_{k+1}. If k+1=n-1, then m\neq S_{n-1} by our assumption, so we are done again. So we may assume that $k+12$ more jumps in order to avoid m and M^\prime (possibly changing the order of a_{\sigma(k+1)},\dots, a_{\sigma(n-1)} and a_n). This is certainly possible by the case n=3 and completes the proof.",induction,,,,,egbotdont
81902,81920,I like remark 2(1),by number,,,,,egbotdont
81921,81957,(but did not get much further down) ,,,,,,egbotdont
81961,82070,certainly seperating the vertices of the discrete cube (by hyperplanes) look relevant (and perhaps familiar).,by content,,,,,egbotdont
82071,82151,A simple set that disconnects the distcrete cube is all vertices of fixed weight,concept,,,,,egbotdont
82155,82268,a special case of our problem is that for a set of size n the number of sums of k elements is at least n (0<k<n).,relevant entity,,,,,egbotdo
82335,82365,Latex corrections to post 129:,"introducing your comment, by number",,,,,egbotdont
82367,82678,"“Formula does not parse”: … the numbers a_{\sigma(1)}+\cdots+a_{\sigma(j)}….

Second half of last paragraph: So we may assume that k+12 jumps are chosen in order to avoid the points m and m^\prime (possibly rearranging a_{\sigma(k+1)},\dots,a_{\sigma(n-1)} and a_n. This is certainly possible by the case n=3.
",technical issues,,,,,egbotdont
82772,82814,"sorry I can’t do latex, will have to learn",apologies,,,,,egbotdont
83001,83035,Or have i misunderstood something?,"I might be wrong, question",,,,,egbotdont
82755,82999,"I don’t see how (sorry I can’t do latex, will have to learn) A1+ …+An-1 can be less than max(M’) – it seems to me that either your interval is then too long, or the number of mines too small for the induction to go through – ie what is your s’?",here is a mistake in your reasoning,,,,,egbotdont
83102,83526,"I’m in a weird position here. If the solution proposed earlier is correct, then I don’t want to read it, as I’d be amused to go off and try to work it out for myself. Looking at the comments, I can’t quite tell whether it is basically fine, or whether there is a problem with it. In the latter case I’d be interested to read it and think about whether it is possible to fix the problem. Can anyone give me advice about this?",meta-level comment about proof,,,,,egbotdont
83489,83526,Can anyone give me advice about this?,question,,,,,egbotdont
83210,83267,I’d be amused to go off and try to work it out for myself,emotion or value words,,,,,egbotdont
83593,83632,"Mark, you are right about your comment.","by name, by content",,,,,egbotdont
83593,84175,"Mark, you are right about your comment. I didn’t claim that this always holds though. It’s just that the whole text does not appear for some reason!

Define S_j=a_{\sigma(1)}+…+a_{\sigma(j)}.

If a_1+…+a_{n-1}<max M', then we are done. If not, then let k in {1,…,n-1} so that S_k<max M'<S_{k+1}. If k+1=n-1, then m is not equal to S_{k+1}=a_1+….+a_{n-1} by our assumption. So assume that k+12 jumps by possibly rearranging a_{\sigma(k+1)},….,a_{\sigma(n-1)} and a_n in order for the grasshopper to avoid m and m’. This is possible by the case n=3 and completes the inductive step.
",response to someone pointing out error,,,,,egbotdont
83743,84173,"Define S_j=a_{\sigma(1)}+…+a_{\sigma(j)}.

If a_1+…+a_{n-1}<max M', then we are done. If not, then let k in {1,…,n-1} so that S_k<max M'<S_{k+1}. If k+1=n-1, then m is not equal to S_{k+1}=a_1+….+a_{n-1} by our assumption. So assume that k+12 jumps by possibly rearranging a_{\sigma(k+1)},….,a_{\sigma(n-1)} and a_n in order for the grasshopper to avoid m and m’. This is possible by the case n=3 and completes the inductive step.",suggested step case,,,,,egbotdont
84497,84608,To Mark@131. You are right about your comment. I didn’t claim this. It’s just that the whole text won’t appear!,repeated comments,,,,,egbotdont
84610,84624,To gowers@133.,"by number, by name",,,,,egbotdont
84625,84705,"I think the solution is correct, but as it is posted it is certainly incomplete.","errors, meta-level comment about proof",,,,,egbotdont
84764,84783,to partalopoulo@129,"by number, by name",,,,,egbotdont
84784,84802,I agree with 131. ,by number,,,,,egbotdont
84802,85001,"For example, let n=4, A={1,2,3,4}, M={4,5,6}, hence s=10, m=6.
We may choose a_n=1, then A’={2,3,4}, M’={4,5}, but by induction hypothesis the steps s_k might be s_1=2, s_2=6, s_3=9, but s_2 is in M.","induction for a specific example, counterexample",,,,,egbotdo
85002,85042,Or am I missing some point of the proof?,"question, I might be wrong",,,,,egbotdont
85097,85123,what is meant here really?,question,,,,,egbotdont
85043,85057,Another thing:,introducing your comment,,,,,egbotdont
85058,85123,"The proof ends with “k+12 more jumps”, what is meant here really?","by content, unclear",,,,,egbotdont
85182,85198,follow-up to 136,"by number, previous comment by the same contributor",,,,,egbotdont
85199,85249,"Sorry, I was apparently too quick with that post. ",apologies,,,,,egbotdont
85199,85306,"Sorry, I was apparently too quick with that post. I think I understand now the proof, and it seems correct!",response to someone pointing out error,,,,,egbotdont
85307,85494,"In the last part of the proof you have n-k numbers $a_{\sigma(k+1)}$, …, $a_{\sigma(n-1)}$, $a_n$, and you have to avoid only one trap, namely $m$. And that is possible by the case $n=3$.",ammended error (own),,,,,egbotdont
85560,85616,What happens if S_{n-3} < M_{n-3} and S_{n-2} = M_{n-1}?,question,,,,,egbotdont
85617,85660,(So the second to last leap is a big one.) ,explanation,,,,,egbotdont
85560,85709,What happens if S_{n-3} < M_{n-3} and S_{n-2} = M_{n-1}? (So the second to last leap is a big one.) Then we have to avoid 3 mines with only 3 jumps.,counterexample,,,,,egbotdo
85710,85847,"I don't want to be too pessimistic though, I actually think we are very close. Let me gather my thoughts and see what I can come up with.",meta-level comment about proof,,,,,egbotdont
85710,85751,I don't want to be too pessimistic though,emotion or value words,,,,,egbotdont
85913,85927,To Tim Gowers:,by name,,,,,egbotdont
85928,85992,"I think the proof may be fixable, but I don’t think it is right.",meta-level comment about proof,,,,,egbotdont
85994,86130,"To those who think the proof works, what happens if S_{n-3} < M_{n-3} and S_{n-2} = M_{n-1}. Then we have to avoid 3 mines with 3 jumps.",counterexample,,,,,egbotdo
86132,86189,To Terry: Could you please check your spam queue? Thanks!,technical issues,,,,,egbotdont
86249,86882,"My last comment did not appear – may be it got marked as spam. I’m reposting it.

In reply to Gil’s unnumbered comment following comment 129, here’s a proof by induction of :’for a set of size n the number of sums of k elements is at least n (0<k<n)'. Let the the n numbers be a_1 < a_2 < \ldots < a_{n-1} < a_n. As induction hypothesis suppose that for n-1 distinct sets of k-1 elements each S_1, S_2 \ldots, S_{n-1} \subseteq \{1,\ldots,n-1\} the sums a_{S_i} = \sum_{j \in S_i} a_j are distinct. Consider the n sums a_1 + \ldots + a_k, a_{S_1} + a_n, a_{S_2} + a_n, \ldots, a_{S_{n-1}} + a_n. These are easily seen to be distinct.",repeated comments,,,,,egbotdont
86948,87136,"I have tried at least twenty times to leave a comment and still can’t see them, though it always tell me that I duplicated the same comment.I guess the same situation happens to David,too.",technical issues,,,,,egbotdont
87138,88181,"Let a_1<a_2<\cdots<a_n.

1,a_1can't be blocked, otherwise we can choose our first step to left a landmine behind, finish the inductive step.

2, Two sets A=\{a_2,\cdots,a_n\} and B=a_1+a_2,\cdots,a_1+a_n contains at least n different values. we claim that the elements in B should not be all blocked. otherwise we can choose the first step with a_i and then a_i+a_n leaving all landmines behind.

3,so, we can at least get to the second group withour being killed. then we claim that a_1+a_2 and a_1+a_3 can't be all blocked. otherwise we can take two steps and leave two landmines behind and finish the inductive step.

4, through a_1+a_2 or a_1+a_3, we can get to
a_1+a_2+a_3,a_1+a_2+a_4,a_1+a_2+a_n,
\cdots,a_1+a_3+a_4,\cdots,a_1+a_3+a_n which contains at least n-1 different values. Similarly, if all of these are blocked, then we can construct a way to avoid all of the landmines. So, we can get to one of these by the third step.

5, then we analyze a_1+a_2+a_3,a_1+a_2+a_4,and a_1+a_3+a_4 in the similar fasion and continue in the road.",constructive,,,,,egbotdont
88240,88246,to 139,by number,,,,,egbotdont
88247,88253,oh yes,informal,,,,,egbotdont
88247,88280,"oh yes, I see the problem, thanks",response to someone pointing out error,,,,,egbotdont
88347,88619,"I’m suspicious that Terry is removing posts which give away too much of the answer/have working proofs. So I’m putting my observations from earlier in individual posts. Terry can allow disallow them as he likes, but I did arrive at them after looking at this conversation.",technical issues,,,,,egbotdont
88687,88974,"Given a set where the Grasshopper can reach the end, you might be able to block the only possible path with a point in M. But the moment you add a another jump all bets are off, as that jump could be applied anywhere in the sequence. I’ll be very impressed if someone can make this work.",proof,,,,,egbotdont
89042,89098,Speyer (2) mentioned a minimal size needed to disconnect,"by content, by name, by number",,,,,egbotdont
89100,89128,This seems a good approach. ,meta-level comment about proof,,,,,egbotdont
89128,89212,What is the minimal size needed to prevent the grasshopper from reaching its target.,question,,,,,egbotdont
89213,89278,"Clearly at least n will suffice as we could select M={a_1,…a_n}. ",justification,,,,,egbotdont
89278,89325,What happens when we remove one element from M.,question,,,,,egbotdont
89393,89411,Final observation.,introducing your comment,,,,,egbotdont
89411,89663," The beginning an ending jumps are constrained. There are n possible first jumps, n possible last jumps, but n^2-n-O(A,2) which measures the number of instances where a_i+a_j=a_k+a_l. I’d avoid the middle and focus on the beginning/end of the sequence.",proof,,,,,egbotdont
89728,89738,addendum. ,introducing your comment,,,,,egbotdont
89738,89801,Apologies to Terry. I guess its just the WordPress spam filter.,technical issues,,,,,egbotdont
89868,90353,"I wasn’t clear on 141c comment. There are n possible first landing positions. Then n^2-n-O(A,2) second landing positions, n^3-n^2+n-O(A,3) (I think…). Key point is the O(A,2) which measures the # of overlapping 2 sums in A. For A={1,2,3,4} O(A,2)=1 because 1+4=2+3 so there is one overlap. This function is clearly very complicated and changes every time you change A. If you are trying to analyze what happens in the middle of the path, I think it will cause serious problems for you.",clarification,,,,,egbotdont
90408,90492,Here’s one way of making the following approach suggested by Gowers and others work.,,,,,,egbotdont
90494,91317,"Show by induction that for k <= n you can take k steps that avoid the mines M.

The base cases have been discussed before. Suppose that you can take k-1 steps a_1,a_2,...,a_{k-1} (in that order) without hitting a mine. Let a_k < a_{k+1} < ... < a_n be the remaining possible steps and let s = a_1+a_2 + ... + a_{k-1}. Now a strong observation is that if any of s+a_k, s+ a_{k+1},...,s+a_n is not a mine we are done. And if not we 'know' the positions of n-k+1 mines.

In particular there are at most k mines in the interval [0,s+a_{k+1}] and at most k-1 mines in the right open interval [0,s+a_{k+1}). Let s' = s+ a_{k+1}. Then, from the above observations for some 1 <= i <= k+1, s'-a_i is not a mine and the interval [0,s'-a_i] has at most $k-1$ mines. We can now finish the argument by another level of induction on $k$.",induction,,,,,egbotdont
91376,91400,trying to fix proof 129.,"by number, introducing your comment",,,,,egbotdont
91401,91979,"Assume a_1<…<a_n, s=a_1+…+a_n, M the set to be avoided, m=max M.
The induction step works except if s-a_n=m:

Suppose s-a_nm, set M’=M\{m}, A’=A\{a_n}. By induction hypothesis
there is a permutation p in S_{n-1} s.t. for all j up to n-1 the sums
s_k=\sum_{i\leq k} a_{p(i)} are not in M’. If also s_k is not in
M for all k, we are done. Otherwise, there is k with s_k=m. Now we
replace the step a_{p(k)}=s_k-s_{k-1} by a_n which is larger than
a_{p(k)}. Done.

A similar argument “from the left” works if a_nmin M, however it
well may be the case that s-a_n=max M and a_n=min M.",induction,,,,,egbotdont
